Unique name,superclass 1
crankshaft gear,gear assembly
crankshaft main bearing,bearing
crankshaft pinion oil seal,oil seal
crescent partition,physical object
crossed axis gear box,gear box
crossed cylindrical roller bearing,cylindrical roller bearing
crosshead,physical object
crosshead balancing weight,physical object
crosshead balancing weight bolting,bolting assembly
crosshead flange,flange
crosshead flange bolting,bolting assembly
crosshead guide,physical object
crosshead guide cover,cover
crosshead guide oil seal assembly,oil seal
crosshead guide partition cover,cover
crosshead pin,rotating machine shaft
crosshead pin bushing,bush
crosshead shoe,physical object
crosshead shoe bolting,bolting assembly
cryogenic expander,expander
cryogenic pump,pump
curtiss turbine,impulse steam turbine
cylinder block,physical object
cylinder cover,cover
cylinder cover crank end,cylinder cover
cylinder cover head end,cylinder cover
cylinder flange studs and nuts,bolting assembly
cylinder liner,bush
cylinder studs and nuts,bolting assembly
cylindrical bore coupling hub,coupling hub
cylindrical roller bearing,rolling element bearing
cylindrical roller thrust bearing,rolling element bearing
deep groove ball bearing,ball bearing
deepwell pump,vertical submersible centrifugal pump
deepwell pump liquid seal,seal
descaling pump,pump
DI diesel engine,diesel engine
diaphragm compressor,reciprocating compressor
diaphragm coupling ,power coupling
diaphragm labyrinth seal,labyrinth seal
diaphragm pump,reciprocating pump
diesel engine,internal combustion engine
diffuser,physical object
diffuser pump,centrifugal pump
diffusor pump casing,pump casing
direct acting pump,reciprocating pump
direct acting steam pump,direct acting pump
disc coupling ,power coupling
disc rotor pump,rotary pump
disc thrust balancer,thrust balance assembly
discharge column,physical object
discharge compressor valve,compressor valve
discharge cover,cover
discharge elbow,pipe elbow
discharge flange,flange
discharge nozzle,nozzle
discharge piping,piping system
discharge piping system,piping system
distance piece cover,cover
distance piece liquid collection pot,vessel
distance piece liquid collection pot,vessel
distance piece partition cover,cover
distance piece seal assembly,seal
distance ring,ring
distance sleeve,sleeve
distillate pump,pump
domestic water pump,pump
double acting piston pump,piston pump
double diaphragm pump,controlled volume diaphragm pump
double helical gear box,helical gear box
double helical mixer impeller,helical mixer impeller
double pump casing,pump casing
double row angular contact bearing,angular contact ball bearing
double row bearing,rolling element bearing
double spiral,mixer impeller
double suction pump ,centrifugal pump
double suction pump impeller,pump impeller
double volute ,volute
double volute casing,volute casing
double volute pump,volute pump
draft tube circulator,pipe
drainage pump,pump
drawn fluid pump,pump
drip pan,container
drip plate,physical object
drip rim,physical object
drive collar,collar
driven equipment ,physical object
driven equipment item,physical object
driver,physical object
driver,physical object
driver stool,support
dry gas seal lock nut,lock nut assembly
dry running seal,mechanical seal
dual active magnetic thrust bearing,active magnetic thrust bearing
dual dry  gas seal,self-acting dry gas seal
dual mechanical seal,mechanical seal
duplex head diaphragm pump,controlled volume diaphragm pump
duplex power pump,power pump
dynamic compressor,compressor
dynamic mixer,mixer
dynamic pump,pump
dynamic seal,seal
eccentric,physical object
eccentric helical rotor pump,screw pump
elbow pump,axial flow pump
electric submersible pump,submersible pump
electro eroded impeller,impeller
electromagnetic brake,brake
electromagnetic pump,pump
emergency cooling water pump,pump
enclosed line shaft,line shaft
engine,physical object
epicyclic gear box,gear box
exhaust casing,casing
exhaust diffuser,diffuser
exhaust hood,hood
exhaust manifold,manifold
exhaust system,fluid system
expander,physical object
expander compressor,turbo expander
expander impeller,impeller
expander seal system,seal system
expander system,system
extension shaft,rotating machine shaft
external circumferential piston pump,circumferential piston pump
external combustion engine,combustion engine
external gear pump ,gear pump
external vane pump,vane pump
extraction back pressure steam turbine,back pressure steam turbine
extraction condensing steam turbine,condensing steam turbine
extruder,physical object
extruder barrel,enclosure
extrusion drawn fluid pump,drawn fluid pump
fan,physical object
fan cowling,cowling
female screw pump rotor,screw pump rotor
filtering centrifuge,centrifuge
fire fighting pump,pump
fixed multilobe radial bearing,hydrodynamic radial bearing
fixed multilobe thrust bearing,hydrodynamic thrust bearing
flange mounted pump,pump
flanged connector,connector
flanged motor pump,pump
flat blade impeller,radial flow mixer impeller
flexible compression sleeve coupling,power coupling
flexible disc coupling,power coupling
flexible liner pump,flexible member rotary pump
flexible member rotary pump,rotary pump
flexible tube pump,flexible member rotary pump
flexible vane pump,flexible member rotary pump
floating diaphragm,diaphragm
fluid connector,connector
fluid coupling,variable transmission
fluid inlet port,fluid port
fluid outlet port,fluid port
fluid port,opening
fluid system,system
flushing connector,fluid connector
flyweight,physical object
flywheel,wheel
flywheel guard,cover
foot mounted pump casing,pump casing
foot support,support
forced draft fan,fan
forced feed lubrication system,lubrication system
forged casing,casing
foundation bolt,bolt
four lobe pump,lobe pump
four stroke engine,engine
francis turbine,hydraulic turbine
francis-vane pump impeller,mixed flow pump impeller
fuel pump,pump
gas engine,internal combustion engine
gas lubricated mechanical seal,mechanical seal
gas pressure pump,pump
gas turbine,turbine
gaslift pump,pump
gear assembly,physical object
gear box,physical object
gear coupling,power coupling
gear pump,rotary pump
gear wheel,wheel
generator drive gas turbine,gas turbine
gerotor gear pump,internal gear pump
gland,physical object
gland condenser,condenser
grease lubricated bearing,lubricated bearing
grease lubrication system,lubrication system
grease nipple,nipple connector
gudgeon pin,physical object
guide blade carrier,physical object
guide bushing,bush
guide vane,vane
hand pump,reciprocating pump
heat recovery diesel engine,diesel engine
heating/cooling jacket,jacket
helical gear,gear wheel
helical gear box,parallel gear box
helical mixer impeller,axial flow mixer impeller
helical screw rotor,pump rotor
high speed centrifugal compressor,centrifugal compressor
high speed integrally geared centrifugal pump,centrifugal pump
high speed shaft,rotating machine shaft
honeycomb static labyrinth seal,static labyrinth seal
hood,enclosure
horizontal axial flow pump,axial flow pump
horizontal centrifugal pump,centrifugal pump
horizontal pump,pump
horizontal triple screw pump,triple screw pump
hot oil pump,pump
hub,physical object
hydraulic cylinder,machine cylinder
hydraulic impulse turbine,impulse turbine
hydraulic motor,motor
hydraulic piston actuator,piston actuator
hydraulic reciprocating motor,hydraulic motor
hydraulic rotary motor,hydraulic motor
hydraulic starting system,starting system
hydraulic submersible pump,submersible pump
hydraulic turbine,turbine
hydraulically actuated diaphragm pump,controlled volume diaphragm pump
hydrodynamic bearing,bearing
hydrodynamic radial bearing,hydrodynamic bearing
hydrodynamic thrust bearing,hydrodynamic bearing
hydrophor pump,pump
hydrostatic drive,fluid coupling
hypoid gear,gear wheel
hypoid gear box,crossed axis gear box
IDI diesel engine,diesel engine
idler gear,gear assembly
idler shaft,rotating machine shaft
ignition chamber,chamber
impeller,physical object
impeller assembly,physical object
impeller back,cover
impeller back wear ring,wear ring
impeller collet,ring
impeller eye,section
impeller front cover,cover
impeller front wear ring,wear ring
impeller gasket,gasket
impeller gasket,gasket
impeller hub,hub
impeller key,shaft key
impeller nut,nut
impeller nut,nut
impeller shroud,cover
impeller vane,vane
impeller-eye labyrinth seal,labyrinth seal
impulse steam turbine,steam turbine
impulse turbine,turbine
inboard bearing,bearing
inducer pump impeller,axial flow pump impeller
industrial type gas turbine,gas turbine
injection pump,positive displacement pump
inlet flange,flange
inlet guide vane ,vane
inlet guide vane control system ,capacity control system
inlet vane,vane
in-line centrifugal pump,centrifugal pump
in-line mounted pump casing,pump casing
inner casing,casing
input shaft,rotating machine shaft
integral shaft flange coupling hub,coupling hub
integral thrust collar,thrust collar
integrally geared centrifugal compressor,centrifugal compressor
integrally geared steam turbine,steam turbine
intermediate bearing,bearing
intermediate bearing spider,support
intermediate gear shaft,rotating machine shaft
intermediate partition packing,packing
intermediate shaft,rotating machine shaft
intermediate shaft,rotating machine shaft
intermediate shaft sleeve,shaft sleeve
internal circumferential piston pump,circumferential piston pump
internal combustion engine,combustion engine
internal gear pump,gear pump
internal gear pump with crescent,internal gear pump
internal gear pump without crescent,internal gear pump
internal rotor,pump rotor
interstage bushing,bush
interstage diaphragm,diaphragm
interstage labyrinth seal,labyrinth seal
interstage seal,seal
interstage shaft sleeve,shaft sleeve
involute gear pump,internal gear pump
iso-carbon seal,compressor shaft end seal
iso-sleeve seal,compressor shaft end seal
jet engine,gas turbine
kaplan turbine,axial hydraulic reaction turbine
key phasor,physical object
labyrinth barrier seal,barrier seal
labyrinth compressor,piston compressor
labyrinth seal,mechanical seal
labyrinth shaft seal,shaft seal
labyrinth-type bearing housing end seal,bearing housing end seal
lantern bracket,bracket
lantern ring,ring
Laval turbine,impulse steam turbine
leveling plate,support
lifetime prelubricated bearing,grease lubricated bearing
lifting machine,physical object
line shaft,pump shaft
line shaft centrifugal pump,vertical suspended centrifugal pump
lined pump,pump
lipseal,mechanical seal
liquid gas pump,positive displacement pump
liquid lubricated mechanical seal,mechanical seal
liquid ring compressor,rotary compressor
liquid ring pump,rotary pump
liquid seal,seal
liquid-film shaft seal,compressor shaft end seal
Ljungstrom turbine,steam turbine
loading pump,pump
lobe pump,rotary pump
lobe rotor,pump rotor
low speed shaft,rotating machine shaft
lower half casing,section
lube oil inlet,fluid inlet port
lube oil outlet,fluid outlet port
lubricated bearing,bearing
lubricating oil heater,heater
lubrication ring,ring
lubrication system,system
lubricator,physical object
machine cylinder,physical object
magnet mounting flange ,flange
magnetic drive centrifugal pump,sealless centrifugal pump
magnetic drive centrifugal pump external magnet,physical object
magnetic drive centrifugal pump external magnet shroud,cover
magnetic drive centrifugal pump internal magnet,physical object
magnetic drive centrifugal pump internal magnet shroud,cover
magnetic drive centrifugal pump spacer can,enclosure
magnetic drive rotary pump,rotary pump
magnetic pump,pump
main condensate extraction pump,condensate extraction pump
main coolant pump,pump
main process connector,connector
male screw pump rotor,screw pump rotor
marine diesel engine,diesel engine
marine pump,pump
marine type impeller,axial flow mixer impeller
mating ring,physical object
mechanical adjustable speed drive,variable transmission
mechanical clutch,clutch
mechanical contact shaft seal,compressor shaft end seal
mechanical drive,physical object
mechanical drive gas turbine,gas turbine
mechanical seal,seal
mechanically actuated diaphragm pump,controlled volume diaphragm pump
melt pump,pump
metal bellow seal,bellow seal
metering pump,pump
milled impeller,impeller
mist lubrication system,lubrication system
mist oil system,mist lubrication system
mixed flow compressor,dynamic compressor
mixed flow pump,centrifugal pump
mixed flow pump impeller,pump impeller
mixed pressure back pressure steam turbine,back pressure steam turbine
mixed pressure condensing steam turbine,condensing steam turbine
mixer,physical object
mixer impeller,impeller
mixing tank,tank
motor,physical object
motor casing cover,cover
mounting flange,flange
multi stage centrifugal pump,centrifugal pump
multi stage pump,pump
multi stage ring section pump,multi stage centrifugal pump
multiple spring mechanical seal,mechanical seal
multiple volute,volute
natural draft fan,fan
near centre-line mounted pump casing,pump casing
needle roller bearing,rolling element bearing
needle roller thrust bearing,needle roller bearing
nipple connector,connector
noise hood,hood
non cartridge mechanical seal,mechanical seal
non lubricated bearing,bearing
non-automatic extraction condensing steam turbine,extraction condensing steam turbine
non-sparking coupling guard,coupling guard
nozzle block,physical object
nozzle head,physical object
nozzle ring,ring
oil conditioner,centrifuge
oil control bearing ring,ring
oil control piston ring,piston ring
oil heater,heater
oil lubricated bearing,lubricated bearing
oil lubrication system,lubrication system
oil pump,pump
oil reservoir,reservoir
oil retaining ring,ring
oil seal,seal
oil seal ring,ring
oil slinger,ring
oil wiper packing,packing
open impeller,impeller
open line shaft,line shaft
open line shaft centrifugal pump,line shaft centrifugal pump
open pump impeller,pump impeller
outboard bearing,bearing
outlet flange,flange
output shaft,rotating machine shaft
overhead tank,tank
overhung type centrifugal pump,centrifugal pump
packed plunger pump,reciprocating controlled volume pump
packing,seal
packing gland,gland
packing ring,ring
pad bearing,bearing
paddle impeller,radial flow mixer impeller
parallel gear box,gear box
Parsons turbine,steam turbine
pedestal,support
pelton turbine,hydraulic impulse turbine
peripheral pump,dynamic pump
petrol engine,internal combustion engine
pinion gear,gear wheel
pinion shaft,rotating machine shaft
pipeline pump,pump
piston,physical object
piston compressor,reciprocating compressor
piston crown,feature
piston extruder,extruder
piston groove,groove
piston land,feature
piston nut,nut
piston packing,packing
piston power pump,power pump
piston pump,reciprocating pump
piston rider ring,ring
piston ring,ring
piston rod,physical object
piston rod back-up ring,ring
piston rod lock nut,lock nut assembly
piston rod packing,packing
piston rod packing flange,flange
piston rod packing ring,packing ring
piston rod pressure packing assembly,physical object
piston thrust balancer,thrust balance assembly
pitched-blade mixer impeller,axial flow mixer impeller
pitot-tube pump,dynamic pump
plain bearing bushing,bearing bushing
planetary gear box,epicyclic gear box
plastic lined pump,lined pump
plunger,physical object
plunger power pump,power pump
plunger pump,reciprocating pump
pneumatic motor,motor
pneumatic start system,starting system
pneumatically actuated diaphragm pump,controlled volume diaphragm pump
positive displacement compressor,compressor
positive displacement pump,pump
power coupling,transmission
power generation gas turbine,gas turbine
power pump,reciprocating pump
preloaded bolting,special bolting
press,physical object
pressure balancing tube,pipe
pressure compound turbine,steam turbine
primary seal gas vent,seal gas vent
probe holder,enclosure
process pump,pump
propeller,impeller
propeller mixer,dynamic mixer
propeller turbine,kaplan turbine
proportioning pump,positive displacement pump
proportioning pump,pump
pulley wheel,wheel
pulsation damper,pressure vessel
pump,physical object
pump barrel,enclosure
pump bowl,casing
pump can,pump casing
pump casing,casing
pump foot,foot support
pump impeller,impeller
pump rotor,rotor
pump seal system,seal system
pump shaft,rotating machine shaft
pump staggered volute casing,volute pump casing
pump station,system
pumping ring,ring
purge air system,fluid system
push rod,physical object
pusher seal,mechanical seal
quill shaft,rotating machine shaft
quill shaft coupling,power coupling
radial bearing,bearing
radial bearing assembly,bearing assembly
radial bearing bracket,bearing bracket
radial bearing driven end,radial bearing
radial bearing housing,bearing housing
radial bearing non-driven end,radial bearing
radial bearing pad,bearing pad
radial bearing sleeve,sleeve
radial fan,fan
radial flow mixer impeller,mixer impeller
radial flow pump,centrifugal pump
radial flow pump impeller,pump impeller
radial turbine mixer,dynamic mixer
radially split casing,casing
reaction steam turbine,steam turbine
reaction turbine,turbine
reactor pump,pump
reciprocating air motor,air motor
reciprocating compressor,positive displacement compressor
reciprocating controlled volume pump,reciprocating pump
reciprocating pump,positive displacement pump
recirculating pump,pump
recycle gas compressor,compressor
refrigerant compressor,compressor
refrigerant compressor,compressor
refrigerant pump,centrifugal pump
refrigerant pump,pump
replaceable thrust collar,thrust collar
reservoir,physical object
restrictive ring seal,seal
reversible rotor vane,rotor vane
ribbon blender,dynamic mixer
right-angle gear box,crossed axis gear box
ring-type compressor valve,compressor valve
rocker arm,physical object
rocker arm cover,cover
rod drop sensor,detecting element
rolling element bearing,bearing
rotary axial piston pump,rotary piston pump
rotary compressor,positive displacement compressor
rotary drum filter,filter
rotary internal gear pump,rotary pump
rotary piston pump,rotary pump
rotary pump,positive displacement pump
rotating face,seal face
rotating labyrinth seal,labyrinth seal
rotating machine shaft,physical object
rotating seat gas seal,gas lubricated mechanical seal
rotation arrow,feature
rotor vane,vane
rubber bellow seal,bellow seal
rubber lined pump,lined pump
screw and wheel pump,screw pump
screw compressor,rotary compressor
screw compressor suction cover,cover
screw pump,rotary pump
screw pump rotor,pump rotor
scroll centrifuge,centrifuge
sea water intake pump,pump
sea water pump,pump
seal assembly,physical object
seal bellow,bellows
seal collar,collar
seal cover,cover
seal cup,seal
seal drive,ring
seal drive key,shaft key
seal drive sleeve,sleeve
seal end plate,physical object
seal face,feature
seal flushing piping,piping system
seal flushing system,seal system
seal gas condensate outlet,fluid outlet port
seal gas inlet,fluid inlet port
seal gas system,seal system
seal gas vent,vent
seal gland assembly,physical object
seal jacket,jacket
seal kit,physical object
seal oil inlet,fluid inlet port
seal oil outlet,fluid outlet port
seal oil system,seal system
seal orifice,orifice plate
seal O-ring,O-ring
seal piping,piping system
seal spring,spring
seal spring holder,ring
seal system,fluid system
seal wedge,dynamic seal
sealing steam control valve,control valve
sealing strip,strip
sealing strip labyrinth seal,labyrinth seal
sealless centrifugal pump,centrifugal pump
seat gasket,O-ring
secondary condensate extraction pump,condensate extraction pump
secondary seal gas vent,seal gas vent
self priming centrifugal pump,centrifugal pump
self-acting dry gas seal,compressor shaft end seal
self-aligning ball bearing,ball bearing
self-leveling plate,support
semi-open impeller,impeller
semi-open pump impeller,pump impeller
separate discharge line shaft centrifugal pump,line shaft centrifugal pump
separation gas inlet,fluid inlet port
separation gas vent,vent
servomotor,motor
sewage pump,pump
shaft end seal assembly,seal assembly
shaft key,physical object
shaft seal,seal
shaft sleeve,physical object
shaft spacer,spacer
shear ring,ring
shim,physical object
shroud band,ring
side channel pump,rotary pump
side entry mixer,dynamic mixer
side load inlet,fluid inlet port
simplex head diaphragm pump,controlled volume diaphragm pump
single acting piston pump,piston pump
single diaphragm pump,controlled volume diaphragm pump
single dry gas seal,self-acting dry gas seal
single helical gear box,helical gear box
single helical mixer impeller,helical mixer impeller
single lobe pump,lobe pump
single mechanical seal,mechanical seal
single row angular contact bearing,angular contact ball bearing
single row bearing,rolling element bearing
single screw extruder,extruder
single stage centrifugal pump,centrifugal pump
single stage pump,pump
single suction pump ,centrifugal pump
single suction pump impeller,pump impeller
single volute,volute
single volute pump,volute pump
single volute pump casing,volute pump casing
single wall pump casing,pump casing
skid,support
skid plate,support
sleeve bearing,sliding bearing
sleeve gasket,gasket
slewing bearing,rolling element bearing
slide rail,rail
slide valve push rod,physical object
sliding bearing,bearing
sliding valve,piston
sliding vane pump,vane pump
slot,feature
slurry pump,pump
solar gear box,epicyclic gear box
solid mixer,dynamic mixer
sour seal oil outlet,seal oil outlet
spacer,physical object
spacer can clamp ring,ring
spacer coupling,power coupling
spare pump,pump
special bolting,bolting assembly
speed controller,controller
speeder rod,physical object
speeder spring,spring
spherical plain bearing,sliding bearing
spherical roller bearing,rolling element bearing
spherical roller thrust bearing,rolling element bearing
spindle,rotating machine shaft
spiral backswept turbine impeller,radial flow mixer impeller
spiral-bevel gear,gear wheel
spiral-bevel gear box,crossed axis gear box
splined bore coupling hub,coupling hub
spring loaded grease type lubricator,lubricator
spur gear,gear wheel
spur gear box,parallel gear box
stabilizer fin,fin
stage,section
stage casing,casing
stage drain,drain
stand-by pump,pump
star gear box,epicyclic gear box
starter,physical object
starting system,system
static labyrinth seal,labyrinth seal
stationary face,seal face
stationary face seal,seal
stationary internals,physical object
stator,physical object
stator vane,vane
steady bearing,radial bearing
steam chest,enclosure
steam engine,engine
steam piping,piping system
steam piping system,piping system
steam pump,direct acting pump
steam strainer,strainer
steam turbine,turbine
steam turbine diaphragm,physical object
step-down gear box,gear box
step-up gear box,gear box
stirling engine,external combustion engine
storage pump,pump
straight-bevel gear box,crossed axis gear box
straight-flow back pressure steam turbine,back pressure steam turbine
straight-flow condensing steam turbine,condensing steam turbine
straight-lobe compressor,rotary compressor
studded connector,connector
stuffing box,seal
stuffing box cover,cover
stuffing box jacket,jacket
stuffing box packing ring,packing ring
submersible centrifugal pump,centrifugal pump
submersible pump,pump
suction bell,physical object
suction bowl,pump bowl
suction can,pump barrel
suction cover,cover
suction flange,inlet flange
suction inlet,fluid inlet port
suction nozzle,nozzle
suction piping,piping system
suction piping system,piping system
suction throttling control system,capacity control system
suction valve unloading system,capacity control system
sump pump,pump
supercharger,turbocharger
support column,support
sweet seal oil outlet,seal oil outlet
swinging vane pump,vane pump
tandem dry gas seal,self-acting dry gas seal
tandem dry gas seal with intermediate labyrinth,tandem dry gas seal
tandem mechanical seal,mechanical seal
tanker pump,pump
taper roller bearing,rolling element bearing
tapered bore coupling hub,coupling hub
tapered land thrust bearing,hydrodynamic thrust bearing
tappet,physical object
thermal compressor,compressor
threaded connector,connector
three lobe pump,lobe pump
throat bushing,bush
throttle bushing,bush
thrust balance assembly,physical object
thrust ball bearing,ball bearing
thrust base ring,ring
thrust bearing,bearing
thrust bearing assembly,bearing assembly
thrust bearing bracket,bearing bracket
thrust bearing carrier,bearing carrier
thrust bearing driven end,thrust bearing
thrust bearing gland,gland
thrust bearing housing,bearing housing
thrust bearing non-driven end,thrust bearing
thrust bearing pad,bearing pad
thrust bearing plate,support
thrust collar,collar
thrust collar assembly,physical object
thrust collar lock nut,lock nut assembly
thrust ring,ring
thrust shim,shim
thruster,physical object
tilting pad,bearing pad
tilting pad bearing,sliding bearing
tilting pad combined radial and thrust bearing,tilting pad bearing
tilting pad radial bearing,tilting pad bearing
tilting pad thrust bearing,tilting pad bearing
timing gear ,gear assembly
top entry mixer,dynamic mixer
top shaft,rotating machine shaft
torque converter,fluid coupling
torque flow pump,submersible pump
track runner bearing,rolling element bearing
transfer pump,pump
transmission,physical object
transmission assembly,physical object
triple diaphragm pump,controlled volume diaphragm pump
triple dry gas seal,self-acting dry gas seal
triple screw pump,screw pump
triplex head diaphragm pump,controlled volume diaphragm pump
triplex power pump,power pump
turbine,physical object
turbine blade,vane
turbine blading,physical object
turbine impulse blade,turbine blade
turbine impulse blading,turbine blading
turbine inner barrel,casing
turbine reaction blade,turbine blade
turbine reaction blading,turbine blading
turbine wheel,wheel
turbo expander,expander
turbocharger,dynamic compressor
turning gear,gear assembly
twin flight mixer,dynamic mixer
twin screw extruder,extruder
twin screw pump,screw pump
two lobe pump,lobe pump
two stage centrifugal pump,multi stage centrifugal pump
two stage pump,multi stage pump
two stroke engine,engine
u-cup,seal
unloader cover,cover
unloader cylinder,machine cylinder
unloader indicator assembly,physical object
unloader indicator spindle,spindle
unloader piston,piston
upper half casing,section
vacuum compressor,rotary compressor
vacuum pump,rotary pump
vane,physical object
vane compressor,rotary compressor
vane pump,rotary pump
vapor seal,mechanical seal
variable pitch blade mixer impeller,axial flow mixer impeller
variable pitch vane  ,vane
variable transmission,transmission
V-belt pulley,pulley wheel
velocity compound turbine,steam turbine
ventilator,fan
vertical axial flow pump,axial flow pump
vertical barrel centrifugal pump,vertical line shaft centrifugal pump
vertical barrel diffuser centrifugal pump,vertical barrel centrifugal pump
vertical barrel volute centrifugal pump,vertical barrel centrifugal pump
vertical centrifugal pump,centrifugal pump
vertical in-line pump,vertical centrifugal pump
vertical line shaft centrifugal pump,vertical centrifugal pump
vertical line shaft diffuser centrifugal pump,vertical turbine pump
vertical line shaft volute centrifugal pump,vertical turbine pump
vertical mounted casing,casing
vertical mounted pump casing,pump casing
vertical pump,pump
vertical submersible centrifugal pump,vertical centrifugal pump
vertical suspended centrifugal pump,vertical centrifugal pump
vertical turbine pump,vertical line shaft centrifugal pump
